UniqueID,ParcelID,LandUse,SaleDate,SalePrice,LegalReference,SoldAsVacant,TaxDistrict,Owner_Address,Owner_City,Property_Address,Property_City,LandUse_Grp,SalePrice_Grp,SaleYear
3279,026 07 0 064.00,SINGLE FAMILY,05/31/2013,"129,900",20130603-0055353,No,CITY OF GOODLETTSVILLE,119  WELSHWOOD CT,GOODLETTSVILLE,119  WELSHWOOD CT,GOODLETTSVILLE,HOME,100K-199K,2013
3280,026 07 0 065.00,SINGLE FAMILY,05/23/2013,"120,000",20130605-0057025,No,CITY OF GOODLETTSVILLE,101  HEATHCOTE CT,GOODLETTSVILLE,101  HEATHCOTE CT,GOODLETTSVILLE,HOME,100K-199K,2013
3281,026 07 0 107.00,SINGLE FAMILY,05/30/2013,"156,000",20130607-0058072,No,CITY OF GOODLETTSVILLE,103  BRENTON CT,GOODLETTSVILLE,103  BRENTON CT,GOODLETTSVILLE,HOME,100K-199K,2013
3282,026 07 0 176.00,SINGLE FAMILY,05/10/2013,"120,000",20130521-0051263,No,CITY OF GOODLETTSVILLE,136  BUCKINGHAM CT,GOODLETTSVILLE,136  BUCKINGHAM CT,GOODLETTSVILLE,HOME,100K-199K,2013
4512,007 15 0 002.00,SINGLE FAMILY,06/07/2013,"189,900",20130612-0059715,No,GENERAL SERVICES DISTRICT,629  GAYLEMORE DR,GOODLETTSVILLE,629  GAYLEMORE DR,GOODLETTSVILLE,HOME,100K-199K,2013
4513,007 15 0 031.00,SINGLE FAMILY,06/28/2013,"192,500",20130711-0071698,No,GENERAL SERVICES DISTRICT,1916  NORMERLE DR,GOODLETTSVILLE,1916  NORMERLE DR,GOODLETTSVILLE,HOME,100K-199K,2013
4514,018 00 0 087.00,VACANT RURAL LAND,06/28/2013,"250,000",20130709-0070947,No,CITY OF GOODLETTSVILLE,0  BRICK CHURCH PIKE,GOODLETTSVILLE,0  BRICK CHURCH PIKE,GOODLETTSVILLE,LAND,200K-299K,2013
4515,018 00 0 096.00,VACANT RESIDENTIAL LAND,06/28/2013,"250,000",20130709-0070947,No,CITY OF GOODLETTSVILLE,0  BRICK CHURCH PIKE,GOODLETTSVILLE,0  BRICK CHURCH PIKE,GOODLETTSVILLE,LAND,200K-299K,2013
4516,018 00 0 097.00,SINGLE FAMILY,06/28/2013,"250,000",20130709-0070947,No,CITY OF GOODLETTSVILLE,235  BRICK CHURCH PIKE,GOODLETTSVILLE,235  BRICK CHURCH PIKE,GOODLETTSVILLE,HOME,200K-299K,2013
4517,018 08 0 019.00,SINGLE FAMILY,06/24/2013,"139,000",20130627-0066289,No,CITY OF GOODLETTSVILLE,102  ISAAC DR,GOODLETTSVILLE,102  ISAAC DR,GOODLETTSVILLE,HOME,100K-199K,2013
4518,018 12 0A 032.00,SINGLE FAMILY,06/06/2013,"149,000",20130610-0058845,No,GENERAL SERVICES DISTRICT,318  DORR DR,GOODLETTSVILLE,318  DORR DR,GOODLETTSVILLE,HOME,100K-199K,2013
4519,025 15 0 025.00,SINGLE FAMILY,06/25/2013,"169,900",20130701-0067508,No,CITY OF GOODLETTSVILLE,311  HIGHLAND HEIGHTS DR,GOODLETTSVILLE,311  HIGHLAND HEIGHTS DR,GOODLETTSVILLE,HOME,100K-199K,2013
4520,025 16 0 038.00,SINGLE FAMILY,06/14/2013,"124,942",20130621-0063832,No,CITY OF GOODLETTSVILLE,129  GARRETT DR,GOODLETTSVILLE,129  GARRETT DR,GOODLETTSVILLE,HOME,100K-199K,2013
4521,026 05 0 017.00,SINGLE FAMILY,06/24/2013,"129,900",20130626-0065757,No,CITY OF GOODLETTSVILLE,208  EAST AVE,GOODLETTSVILLE,208  EAST AVE,GOODLETTSVILLE,HOME,100K-199K,2013
4522,026 09 0 037.00,SINGLE FAMILY,06/04/2013,"160,000",20130610-0058712,No,CITY OF GOODLETTSVILLE,225  CIMA DR,GOODLETTSVILLE,225  CIMA DR,GOODLETTSVILLE,HOME,100K-199K,2013
4523,032 09 0 136.00,SINGLE FAMILY,06/28/2013,"143,000",20130701-0067653,No,GENERAL SERVICES DISTRICT,2156  QUAIL RIDGE DR,NASHVILLE,2156  QUAIL RIDGE DR,NASHVILLE,HOME,100K-199K,2013
4534,026 06 0 092.00,SINGLE FAMILY,06/03/2013,"149,900",20130605-0056814,No,CITY OF GOODLETTSVILLE,122  OXFORD CT,GOODLETTSVILLE,122  OXFORD CT,GOODLETTSVILLE,HOME,100K-199K,2013
4535,026 06 0A 026.00,RESIDENTIAL CONDO,06/24/2013,"140,000",20130628-0066836,No,GENERAL SERVICES DISTRICT,241  WYNDOM CT,GOODLETTSVILLE,241  WYNDOM CT,GOODLETTSVILLE,HOME,100K-199K,2013
4536,026 07 0 111.00,SINGLE FAMILY,06/07/2013,"127,500",20130612-0059698,No,CITY OF GOODLETTSVILLE,111  BRENTON CT,GOODLETTSVILLE,111  BRENTON CT,GOODLETTSVILLE,HOME,100K-199K,2013
5802,007 15 0 052.00,SINGLE FAMILY,07/08/2013,"192,500",20130712-0072376,No,GENERAL SERVICES DISTRICT,811  BENTON CT,GOODLETTSVILLE,811  BENTON CT,GOODLETTSVILLE,HOME,100K-199K,2013
5803,015 14 0 055.00,SINGLE FAMILY,07/12/2013,"119,900",20130718-0074201,No,GENERAL SERVICES DISTRICT,7628  GERALD DR,JOELTON,7628  GERALD DR,JOELTON,HOME,100K-199K,2013
5804,016 00 0 191.00,SINGLE FAMILY,07/29/2013,"165,000",20130729-0078604,No,GENERAL SERVICES DISTRICT,7175  LAMA TERRA DR,GOODLETTSVILLE,7175  LAMA TERRA DR,GOODLETTSVILLE,HOME,100K-199K,2013
5805,018 03 0 001.00,SINGLE FAMILY,07/03/2013,"150,000",20130715-0072680,No,CITY OF GOODLETTSVILLE,314  ISAAC DR,GOODLETTSVILLE,314  ISAAC DR,GOODLETTSVILLE,HOME,100K-199K,2013
5806,018 03 0 002.00,SINGLE FAMILY,07/18/2013,"156,000",20130719-0074748,No,CITY OF GOODLETTSVILLE,312  ISAAC DR,GOODLETTSVILLE,312  ISAAC DR,GOODLETTSVILLE,HOME,100K-199K,2013
5807,018 07 0 045.00,SINGLE FAMILY,07/26/2013,"75,000",20130730-0078963,No,CITY OF GOODLETTSVILLE,202  LUCIEN RD,GOODLETTSVILLE,202  LUCIEN RD,GOODLETTSVILLE,HOME,Below 100K,2013
5808,018 12 0A 029.00,SINGLE FAMILY,07/19/2013,"140,000",20130722-0075620,No,GENERAL SERVICES DISTRICT,104  MAVELLA CT,GOODLETTSVILLE,104  MAVELLA CT,GOODLETTSVILLE,HOME,100K-199K,2013
5809,025 14 0 011.00,SINGLE FAMILY,07/25/2013,"203,900",20130729-0078717,No,CITY OF GOODLETTSVILLE,202  TABOR DR,GOODLETTSVILLE,202  TABOR DR,GOODLETTSVILLE,HOME,200K-299K,2013
5810,026 05 0 050.00,SINGLE FAMILY,07/18/2013,"75,000",20130724-0076564,No,CITY OF GOODLETTSVILLE,118  HOLLYWOOD ST,GOODLETTSVILLE,118  HOLLYWOOD ST,GOODLETTSVILLE,HOME,Below 100K,2013
5811,032 13 0 023.00,SINGLE FAMILY,07/25/2013,"139,900",20130730-0079145,No,GENERAL SERVICES DISTRICT,1604  AUTUMN RIDGE DR,NASHVILLE,1604  AUTUMN RIDGE DR,NASHVILLE,HOME,100K-199K,2013
5812,032 15 0 050.00,SINGLE FAMILY,07/03/2013,"177,500",20130709-0070774,No,GENERAL SERVICES DISTRICT,1381  LA BOLDI AVE,NASHVILLE,1381  LA BOLDI AVE,NASHVILLE,HOME,100K-199K,2013
5813,033 02 0 020.00,SINGLE FAMILY,07/22/2013,"186,500",20130805-0081535,No,GENERAL SERVICES DISTRICT,1013  FONTAINE DR,GOODLETTSVILLE,1013  FONTAINE DR,GOODLETTSVILLE,HOME,100K-199K,2013
5814,033 03 0B 004.00,SINGLE FAMILY,07/31/2013,"146,000",20130805-0081561,No,GENERAL SERVICES DISTRICT,108  IVY HILL LN,GOODLETTSVILLE,108  IVY HILL LN,GOODLETTSVILLE,HOME,100K-199K,2013
5815,033 03 0B 039.00,SINGLE FAMILY,07/03/2013,"148,500",20130708-0070207,No,GENERAL SERVICES DISTRICT,104  VINE LN,GOODLETTSVILLE,104  VINE LN,GOODLETTSVILLE,HOME,100K-199K,2013
5816,033 03 0B 132.00,SINGLE FAMILY,07/26/2013,"159,900",20130813-0084875,No,GENERAL SERVICES DISTRICT,131  IVY HILL LN,GOODLETTSVILLE,131  IVY HILL LN,GOODLETTSVILLE,HOME,100K-199K,2013
6993,015 14 0 060.00,SINGLE FAMILY,08/20/2013,"145,000",20130821-0088382,No,GENERAL SERVICES DISTRICT,3113  MILLIKEN DR,JOELTON,3113  MILLIKEN DR,JOELTON,HOME,100K-199K,2013
6994,018 07 0 044.00,SINGLE FAMILY,08/20/2013,"123,500",20130827-0090226,No,CITY OF GOODLETTSVILLE,204  LUCIEN RD,GOODLETTSVILLE,204  LUCIEN RD,GOODLETTSVILLE,HOME,100K-199K,2013
6995,025 04 0 126.00,SINGLE FAMILY,08/06/2013,"203,000",20130807-0082622,No,CITY OF GOODLETTSVILLE,104  ESSEX CT,GOODLETTSVILLE,104  ESSEX CT,GOODLETTSVILLE,HOME,200K-299K,2013
6996,025 12 0 029.00,SINGLE FAMILY,08/21/2013,"100,000",20130827-0090187,No,CITY OF GOODLETTSVILLE,107  SHEVEL DR,GOODLETTSVILLE,107  SHEVEL DR,GOODLETTSVILLE,HOME,100K-199K,2013
6997,025 16 0 063.00,DUPLEX,08/30/2013,"163,500",20130910-0095311,No,CITY OF GOODLETTSVILLE,427  ALTA LOMA RD,GOODLETTSVILLE,427  ALTA LOMA RD,GOODLETTSVILLE,HOME,100K-199K,2013
6998,033 00 0 232.00,SINGLE FAMILY,08/22/2013,"135,000",20130905-0093882,No,GENERAL SERVICES DISTRICT,450  W CAMPBELL RD,GOODLETTSVILLE,450  W CAMPBELL RD,GOODLETTSVILLE,HOME,100K-199K,2013
6999,033 03 0A 108.00,RESIDENTIAL CONDO,08/13/2013,"100,500",20130816-0086171,No,GENERAL SERVICES DISTRICT,108  ROLLING MEADOWS DR,GOODLETTSVILLE,108  ROLLING MEADOWS DR,GOODLETTSVILLE,HOME,100K-199K,2013
7000,033 03 0B 137.00,SINGLE FAMILY,08/30/2013,"172,500",20130904-0093088,No,GENERAL SERVICES DISTRICT,121  IVY HILL LN,GOODLETTSVILLE,121  IVY HILL LN,GOODLETTSVILLE,HOME,100K-199K,2013
7017,026 02 0 017.00,SINGLE FAMILY,08/15/2013,"160,000",20130823-0089241,No,CITY OF GOODLETTSVILLE,513  HANOVER CT,GOODLETTSVILLE,513  HANOVER CT,GOODLETTSVILLE,HOME,100K-199K,2013
7018,026 06 0 094.00,SINGLE FAMILY,08/21/2013,"139,000",20130903-0092555,No,CITY OF GOODLETTSVILLE,104  HOLLIS CT,GOODLETTSVILLE,104  HOLLIS CT,GOODLETTSVILLE,HOME,100K-199K,2013
7019,026 06 0A 010.00,RESIDENTIAL CONDO,08/12/2013,"142,500",20130815-0085895,No,GENERAL SERVICES DISTRICT,222  WYNDOM CT,GOODLETTSVILLE,222  WYNDOM CT,GOODLETTSVILLE,HOME,100K-199K,2013
7020,026 06 0A 012.00,RESIDENTIAL CONDO,08/30/2013,"124,900",20130905-0093813,No,GENERAL SERVICES DISTRICT,226  WYNDOM CT,GOODLETTSVILLE,226  WYNDOM CT,GOODLETTSVILLE,HOME,100K-199K,2013
7021,026 16 0 025.00,SINGLE FAMILY,08/20/2013,"215,000",20130906-0094088,No,GENERAL SERVICES DISTRICT,219  CUMBERLAND HILLS DR,MADISON,219  CUMBERLAND HILLS DR,MADISON,HOME,200K-299K,2013
7982,018 12 0A 025.00,SINGLE FAMILY,09/20/2013,"164,800",20130923-0099794,No,GENERAL SERVICES DISTRICT,112  MAVELLA CT,GOODLETTSVILLE,112  MAVELLA CT,GOODLETTSVILLE,HOME,100K-199K,2013
8004,026 03 0 006.00,SINGLE FAMILY,09/18/2013,"189,000",20130923-0099641,No,CITY OF GOODLETTSVILLE,331  WITHAM CT,GOODLETTSVILLE,331  WITHAM CT,GOODLETTSVILLE,HOME,100K-199K,2013
8899,007 15 0 020.00,SINGLE FAMILY,10/11/2013,"349,900",20131018-0109102,No,GENERAL SERVICES DISTRICT,1921  NORMERLE DR,GOODLETTSVILLE,1921  NORMERLE DR,GOODLETTSVILLE,HOME,300K-399K,2013
8900,010 00 0 052.00,SINGLE FAMILY,10/21/2013,"172,400",20131030-0112723,No,GENERAL SERVICES DISTRICT,361  VIEW RIDGE DR,GOODLETTSVILLE,361  VIEW RIDGE DR,GOODLETTSVILLE,HOME,100K-199K,2013
8901,012 00 0 109.00,SINGLE FAMILY,10/11/2013,"225,000",20131022-0110073,No,GENERAL SERVICES DISTRICT,8136  OLD SPRINGFIELD PIKE,GOODLETTSVILLE,8136  OLD SPRINGFIELD PIKE,GOODLETTSVILLE,HOME,200K-299K,2013
8902,018 00 0 042.00,SINGLE FAMILY,10/25/2013,"154,900",20131028-0111690,No,CITY OF GOODLETTSVILLE,330  MONCRIEF AVE,GOODLETTSVILLE,330  MONCRIEF AVE,GOODLETTSVILLE,HOME,100K-199K,2013
8903,018 00 0 164.00,VACANT RESIDENTIAL LAND,10/25/2013,"25,000",20131028-0111686,No,CITY OF GOODLETTSVILLE,332  MONCRIEF AVE,GOODLETTSVILLE,332  MONCRIEF AVE,GOODLETTSVILLE,LAND,Below 100K,2013
8904,018 07 0 070.00,SINGLE FAMILY,10/31/2013,"153,000",20131101-0113661,No,CITY OF GOODLETTSVILLE,508  MATHES CT,GOODLETTSVILLE,508  MATHES CT,GOODLETTSVILLE,HOME,100K-199K,2013
8905,025 04 0 016.00,SINGLE FAMILY,10/15/2013,"129,000",20131018-0108895,No,CITY OF GOODLETTSVILLE,207  W CEDAR ST,GOODLETTSVILLE,207  W CEDAR ST,GOODLETTSVILLE,HOME,100K-199K,2013
8906,025 16 0 007.00,SINGLE FAMILY,10/09/2013,"148,000",20131014-0107187,No,CITY OF GOODLETTSVILLE,218  MOSS TRL,GOODLETTSVILLE,218  MOSS TRL,GOODLETTSVILLE,HOME,100K-199K,2013
8907,026 13 0 005.00,SINGLE FAMILY,10/24/2013,"100,000",20131028-0111877,No,CITY OF GOODLETTSVILLE,421  MOSS TRL,GOODLETTSVILLE,421  MOSS TRL,GOODLETTSVILLE,HOME,100K-199K,2013
8908,032 09 0 096.00,SINGLE FAMILY,10/31/2013,"221,500",20131108-0115884,No,GENERAL SERVICES DISTRICT,2161  QUAIL RIDGE DR,NASHVILLE,2161  QUAIL RIDGE DR,NASHVILLE,HOME,200K-299K,2013
8909,033 03 0B 120.00,SINGLE FAMILY,10/18/2013,"181,000",20131025-0111413,No,GENERAL SERVICES DISTRICT,162  IVY HILL LN,GOODLETTSVILLE,162  IVY HILL LN,GOODLETTSVILLE,HOME,100K-199K,2013
8919,026 06 0 031.00,SINGLE FAMILY,10/15/2013,"158,000",20131017-0108715,No,CITY OF GOODLETTSVILLE,123  BROCKHAMPTON CT,GOODLETTSVILLE,123  BROCKHAMPTON CT,GOODLETTSVILLE,HOME,100K-199K,2013
8920,026 06 0A 006.00,RESIDENTIAL CONDO,10/25/2013,"138,000",20131028-0111661,No,GENERAL SERVICES DISTRICT,212  WYNDOM CT,GOODLETTSVILLE,212  WYNDOM CT,GOODLETTSVILLE,HOME,100K-199K,2013
9492,188 10 0A 100.00,SINGLE FAMILY,11/08/2013,"168,000",20131112-0116554,No,GENERAL SERVICES DISTRICT,1437  WINDING CREEK DR,NOLENSVILLE,1437  WINDING CREEK DR,NOLENSVILLE,HOME,100K-199K,2013
9799,018 12 0A 054.00,SINGLE FAMILY,11/13/2013,"154,000",20131121-0119895,No,GENERAL SERVICES DISTRICT,397  DORR DR,GOODLETTSVILLE,397  DORR DR,GOODLETTSVILLE,HOME,100K-199K,2013
9800,025 04 0 130.00,SINGLE FAMILY,11/08/2013,"148,000",20131113-0117426,No,CITY OF GOODLETTSVILLE,101  ESSEX CT,GOODLETTSVILLE,101  ESSEX CT,GOODLETTSVILLE,HOME,100K-199K,2013
9801,025 12 0 081.00,SINGLE FAMILY,11/12/2013,"158,000",20131119-0119224,No,CITY OF GOODLETTSVILLE,119  CONNOR DR,GOODLETTSVILLE,119  CONNOR DR,GOODLETTSVILLE,HOME,100K-199K,2013
9802,032 13 0 046.00,SINGLE FAMILY,11/19/2013,"151,000",20131122-0120466,No,GENERAL SERVICES DISTRICT,4202  BRICK CHURCH PIKE,WHITES CREEK,4202  BRICK CHURCH PIKE,WHITES CREEK,HOME,100K-199K,2013
9803,033 01 0 004.00,SINGLE FAMILY,11/22/2013,"208,900",20131126-0121430,No,GENERAL SERVICES DISTRICT,962  CARLIN ST,GOODLETTSVILLE,962  CARLIN ST,GOODLETTSVILLE,HOME,200K-299K,2013
10754,007 14 0A 027.00,SINGLE FAMILY,12/12/2013,"585,000",20131227-0130352,No,GENERAL SERVICES DISTRICT,109  BAILEY VIEW CT,GOODLETTSVILLE,109  BAILEY VIEW CT,GOODLETTSVILLE,HOME,500K-599K,2013
10755,018 12 0A 006.00,SINGLE FAMILY,12/18/2013,"144,500",20131226-0129701,No,GENERAL SERVICES DISTRICT,108  JUDITH CT,GOODLETTSVILLE,108  JUDITH CT,GOODLETTSVILLE,HOME,100K-199K,2013
10756,032 15 0 020.00,VACANT RESIDENTIAL LAND,12/06/2013,"169,900",20131211-0125356,No,GENERAL SERVICES DISTRICT,0  DALEMERE DR,NASHVILLE,0  DALEMERE DR,NASHVILLE,LAND,100K-199K,2013
10757,033 03 0B 001.00,SINGLE FAMILY,12/10/2013,"163,000",20131211-0125601,No,GENERAL SERVICES DISTRICT,102  IVY HILL LN,GOODLETTSVILLE,102  IVY HILL LN,GOODLETTSVILLE,HOME,100K-199K,2013
10782,026 02 0 010.00,SINGLE FAMILY,12/31/2013,"172,000",20140106-0001151,No,CITY OF GOODLETTSVILLE,405  NEWBERRY CT,GOODLETTSVILLE,405  NEWBERRY CT,GOODLETTSVILLE,HOME,100K-199K,2013
11694,018 07 0 045.00,SINGLE FAMILY,01/14/2014,"142,000",20140121-0005326,No,CITY OF GOODLETTSVILLE,202  LUCIEN RD,GOODLETTSVILLE,202  LUCIEN RD,GOODLETTSVILLE,HOME,100K-199K,2014
11695,018 08 0 015.00,SINGLE FAMILY,01/03/2014,"120,000",20140107-0001596,No,CITY OF GOODLETTSVILLE,105  ISAAC DR,GOODLETTSVILLE,105  ISAAC DR,GOODLETTSVILLE,HOME,100K-199K,2014
11696,025 12 0 029.00,SINGLE FAMILY,01/29/2014,"198,000",20140205-0010246,No,CITY OF GOODLETTSVILLE,107  SHEVEL DR,GOODLETTSVILLE,107  SHEVEL DR,GOODLETTSVILLE,HOME,100K-199K,2014
11697,025 12 0 086.00,SINGLE FAMILY,01/21/2014,"43,000",20140123-0006401,No,CITY OF GOODLETTSVILLE,103  CONNOR DR,GOODLETTSVILLE,103  CONNOR DR,GOODLETTSVILLE,HOME,Below 100K,2014
11698,025 16 0 080.00,SINGLE FAMILY,01/03/2014,"93,000",20140108-0002053,No,CITY OF GOODLETTSVILLE,299  DRAPER CIR,GOODLETTSVILLE,299  DRAPER CIR,GOODLETTSVILLE,HOME,Below 100K,2014
11699,026 01 0 030.00,SINGLE FAMILY,01/15/2014,"112,000",20140121-0005669,No,CITY OF GOODLETTSVILLE,127  EAST AVE,GOODLETTSVILLE,127  EAST AVE,GOODLETTSVILLE,HOME,100K-199K,2014
12140,188 10 0A 030.00,SINGLE FAMILY,02/10/2014,"280,000",20140324-0023871,No,GENERAL SERVICES DISTRICT,2136  GLEN HAVEN DR,NOLENSVILLE,2136  GLEN HAVEN DR,NOLENSVILLE,HOME,200K-299K,2014
12402,018 12 0A 038.00,SINGLE FAMILY,02/10/2014,"132,900",20140213-0012707,No,GENERAL SERVICES DISTRICT,331  DORR DR,GOODLETTSVILLE,331  DORR DR,GOODLETTSVILLE,HOME,100K-199K,2014
